  UID   PID  PPID   C STIME   TTY           TIME CMD
  501  1071     1   0  6Oct23 ??         0:41.72 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
    0  1079     1   0  6Oct23 ??         0:02.07 automountd
  501  1080     1   0  6Oct23 ??         0:02.71 /System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent --launchd
  501  1081     1   0  6Oct23 ??         0:27.73 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
  501  1083     1   0  6Oct23 ??         5:20.56 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
  501  1084     1   0  6Oct23 ??         1:05.48 /System/Cryptexes/App/usr/libexec/com.apple.Safari.History
    0  1090     1   0  6Oct23 ??         0:00.07 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
  501  1105     1   0  6Oct23 ??         3:32.47 /System/Library/PrivateFrameworks/AMPLibrary.framework/Versions/A/Support/AMPLibraryAgent --launchd
  501  1120     1   0  6Oct23 ??         0:35.52 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
  501  1122     1   0  6Oct23 ??         0:00.68 /System/Library/Image Capture/Support/icdd
  501  1125     1   0  6Oct23 ??         0:34.93 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent --launchd
  501  1126     1   0  6Oct23 ??        25:02.78 /System/Library/CoreServices/audioaccessoryd
  501  1128     1   0  6Oct23 ??         1:40.22 /System/Library/CoreServices/TextInputMenuAgent.app/Contents/MacOS/TextInputMenuAgent
  501  1414     1   0  6Oct23 ??         0:34.49 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeuid.app/Contents/MacOS/storeuid
  501  1496     1   0  6Oct23 ??         0:00.12 /System/Library/PrivateFrameworks/KerberosHelper/Helpers/DiskUnmountWatcher
  501  2593     1   0 18Dec23 ??       2199:29.03 /Applications/zoom.us.app/Contents/MacOS/zoom.us
    0  2594     1   0 18Dec23 ??         0:00.13 /System/Library/CoreServices/sharedfilelistd
  501  2600  2593   0 18Dec23 ??         3:13.38 /Applications/zoom.us.app/Contents/Frameworks/caphost.app/Contents/MacOS/caphost -pid 2593 -evtname caphost2593 -key rpc
  501  2601     1   0 18Dec23 ??         0:04.17 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking
  501  2602     1   0 18Dec23 ??         0:29.25 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
  501  2603     1   0 18Dec23 ??        17:44.14 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
  501  2604     1   0 18Dec23 ??         0:29.72 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
  501  2605     1   0 18Dec23 ??         9:27.21 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
  501  2606     1   0 18Dec23 ??        11:40.82 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.GPU.xpc/Contents/MacOS/com.apple.WebKit.GPU
    0  3992     1   0  7Oct23 ??         0:00.02 /usr/libexec/taskgated
  501  4087     1   0  7Oct23 ??         1:08.03 /System/Library/CoreServices/UserNotificationCenter.app/Contents/MacOS/UserNotificationCenter
  501  4346     1   0  7Oct23 ??         0:01.01 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdwrite
  501  4356     1   0  7Oct23 ??         0:23.74 /System/Library/ExtensionKit/Extensions/WallpaperImageExtension.appex/Contents/MacOS/WallpaperImageExtension
  501  4853     1   0  7Oct23 ??         0:02.40 /usr/libexec/seserviced
  501  4866     1   0  7Oct23 ??         1:29.64 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
    0  5061     1   0  7Oct23 ??         2:50.06 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/installd
    0  5065     1   0  7Oct23 ??         2:47.20 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/system_installd
  501  5087     1   0  7Oct23 ??         6:21.61 /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Support/appstoreagent
  501  5093     1   0  7Oct23 ??         0:13.76 /System/Cryptexes/App/usr/libexec/PasswordBreachAgent
  501  5223     1   0  7Oct23 ??         0:04.29 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTDecoderXPCService.xpc/Contents/MacOS/VTDecoderXPCService
  200  5641     1   0  7Oct23 ??        12:56.54 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
    0  5642     1   0  7Oct23 ??         0:03.40 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
  501  5805     1   0  8Oct23 ??         2:31.15 /System/Library/CoreServices/PowerChime.app/Contents/MacOS/PowerChime
  501  6006     1   0 21Dec23 ??         3:09.30 /System/Applications/Utilities/Terminal.app/Contents/MacOS/Terminal
  501  6073     1   0  8Oct23 ??         0:24.78 /System/Library/CoreServices/talagent
  501  6163     1   0  8Oct23 ??         0:00.39 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeaccountd
  501  6264     1   0  8Oct23 ??         0:03.32 /System/Library/PrivateFrameworks/IMDPersistence.framework/IMAutomaticHistoryDeletionAgent.app/Contents/MacOS/IMAutomaticHistoryDeletionAgent
    0  6283     1   0  8Oct23 ??         0:10.67 /usr/libexec/logd_reporter
  296  6287     1   0  8Oct23 ??         0:45.84 /usr/sbin/distnoted agent
  501  6596     1   0  8Oct23 ??         8:28.35 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
  501  6619     1   0  8Oct23 ??        15:06.76 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
